"";"Ascophyllum ";"Brown algae";"Fucus serratus ";"Fucus vesiculosus";"Grass";"Green algae";"Heather";"Lichen";"Marram grass";"Orange lichen";"Red algae";"Rock";"Roof";"Sand";"Shrubs";"Tangvoll"
"Sensitivity";0;0,488372093023256;0,5;0,571428571428571;0,642857142857143;0,466666666666667;0,514285714285714;0,555555555555556;NA;0;0,666666666666667;0,582677165354331;0,857142857142857;0,756302521008403;0,741935483870968;0,411764705882353
"Specificity";0,995253164556962;0,974405850091408;0,977161500815661;0,971571906354515;0,988155668358714;0,930018416206261;0,969899665551839;0,959935897435897;0,963665086887836;0,969889064976228;0,998389694041868;0,926877470355731;0,985623003194888;0,972762645914397;0,981727574750831;0,982142857142857
"Pos Pred Value";0;0,75;0,416666666666666;0,540540540540541;0,794117647058824;0,525;0,5;0,166666666666667;NA;0;0,888888888888889;0,666666666666667;0,4;0,865384615384615;0,676470588235295;0,388888888888888
"Neg Pred Value";0,998412698412698;0,923743500866551;0,983579638752053;0,974832214765101;0,974958263772955;0,913200723327306;0,971524288107203;0,993366500829187;NA;0,996742671009772;0,993589743589744;0,898467432950191;0,998381877022654;0,945179584120983;0,986644407345576;0,983739837398374
"Precision";0;0,75;0,416666666666667;0,540540540540541;0,794117647058823;0,525;0,5;0,166666666666667;0;0;0,888888888888889;0,666666666666667;0,4;0,865384615384615;0,676470588235294;0,388888888888889
"Recall";0;0,488372093023256;0,5;0,571428571428571;0,642857142857143;0,466666666666667;0,514285714285714;0,555555555555556;NA;0;0,666666666666667;0,582677165354331;0,857142857142857;0,756302521008403;0,741935483870968;0,411764705882353
"F1";NA;0,591549295774648;0,454545454545455;0,555555555555556;0,710526315789474;0,494117647058824;0,507042253521127;0,256410256410256;NA;NA;0,761904761904762;0,621848739495798;0,545454545454546;0,807174887892377;0,707692307692308;0,4
"Prevalence";0,00157977883096367;0,135860979462875;0,0315955766192733;0,0552922590837283;0,0663507109004739;0,14218009478673;0,0552922590837283;0,014218009478673;0;0,00315955766192733;0,018957345971564;0,200631911532385;0,0110584518167457;0,187993680884676;0,0489731437598736;0,0268562401263823
"Detection Rate";0;0,0663507109004739;0,0157977883096366;0,0315955766192733;0,042654028436019;0,0663507109004739;0,028436018957346;0,00789889415481832;0;0;0,0126382306477093;0,116903633491311;0,00947867298578199;0,14218009478673;0,0363349131121643;0,0110584518167457
"Detection Prevalence";0,004739336492891;0,0884676145339652;0,037914691943128;0,0584518167456556;0,0537124802527646;0,126382306477093;0,0568720379146919;0,0473933649289099;0,0363349131121643;0,0300157977883096;0,014218009478673;0,175355450236967;0,023696682464455;0,164296998420221;0,0537124802527646;0,028436018957346
"Balanced Accuracy";0,497626582278481;0,731388971557332;0,73858075040783;0,771500238891543;0,815506405607928;0,698342541436464;0,742092689918777;0,757745726495727;NA;0,484944532488114;0,832528180354267;0,754777317855031;0,921382930168873;0,8645325834614;0,861831529310899;0,696953781512605
